Mesh,Nx,Ny,Cells,Device,TotalTime(s),TimePerStep(s),StepsPerSec
32x64,32,64,2048,CPU,0.068,0.007,147.320
32x64,32,64,2048,GPU,0.008,0.001,1253.465
64x128,64,128,8192,CPU,0.193,0.019,51.731
64x128,64,128,8192,GPU,0.011,0.001,891.997
128x256,128,256,32768,CPU,0.658,0.066,15.189
128x256,128,256,32768,GPU,0.018,0.002,550.471
256x512,256,512,131072,CPU,2.449,0.245,4.083
256x512,256,512,131072,GPU,0.041,0.004,243.640
512x512,512,512,262144,CPU,4.729,0.473,2.115
512x512,512,512,262144,GPU,0.079,0.008,126.246
